nodeID,nodeLabel,latitude,longitude
2456,PNG.10_1,-6.067334651999914,144.60439724626923
2457,PNG.11_1,-4.340899999999948,144.7978227896944
2458,PNG.12_1,-2.1034719999999254,146.93249500000007
2459,PNG.13_1,-10.146388999999914,149.95975686174717
2460,PNG.14_1,-7.382534026999878,146.73267276263294
2461,PNG.15_1,-9.44825999999992,147.21705771176062
2462,PNG.16_1,-2.519503499999928,150.23882792270075
2463,PNG.17_1,-9.048179999999943,148.35158542111566
2464,PNG.18_1,-3.3329064999999503,142.32067707375273
2465,PNG.19_1,-6.403934478999929,144.284490045204
2466,PNG.1_1,-6.135364499999895,155.3389146251564
2467,PNG.20_1,-5.880077499999885,149.4550274981835
2468,PNG.21_1,-5.651334523999907,144.33908122144163
2469,PNG.22_1,-7.018584499999946,142.01289386185573
2470,PNG.2_1,-10.055340999999911,148.9376418873303
2471,PNG.3_1,-6.172736167999972,145.1501462194286
2472,PNG.4_1,-4.583027999999899,151.82377730067242
2473,PNG.5_1,-4.438456260999885,142.19988809707402
2474,PNG.6_1,-5.992234944499955,145.23179479296186
2475,PNG.7_1,-5.747284888999928,143.39249011776258
2476,PNG.8_1,-7.85953449999991,146.0940636899443
2477,PNG.9_1,-6.038634300499922,143.14659249201458
